title,tagline,link,tag,year,image,
,,,,,,
drop-zone-ops,taking broadcast automation to new heights!,https://github.com/vondas-network/drop-zone-ops,code,2024,https://github.com/vondas-network/drop-zone-ops/blob/main/drop-zone-ops.png?raw=true,
webglo,decentralized video art on the Bitcoin blockchain,https://vondas-network.github.io/webglo/,art,2024,https://github.com/cskonopka/WebGL-Ordinals/raw/main/webglo.png?raw=true,
illogica factory,automated A.I. cannibalism,https://www.youtube.com/playlist?list=PLmyETqg8KgDc4DyJ16i8AcYym0HFXKUc8,code,2024,https://github.com/vondas-network/illogica-factory/raw/main/img/illogica-factory-logo.png,
videobeaux,The friendly multilateral video toolkit built for artists by artists,https://github.com/vondas-network/videobeaux/tree/main,code,2024,https://github.com/vondas-network/videobeaux/raw/main/img/videobeaux-1.png?raw=true,
MagicEdenJS,An API service for sourcing Rare Sats and Bitcoin Ordinal listing data from Magic Eden,https://github.com/vondas-network/MagicEdenJS/tree/main,code,2024,https://github.com/vondas-network/MagicEdenJS/raw/main/img/MagicEdenJS-logo-1.png?raw=true,
dexscreenerJS,An API for dexscreener.com pair data,https://github.com/vondas-network/dexscreenerJS,code,2024,https://github.com/vondas-network/dexscreenerJS/raw/main/img/dexscreenerjs-logo.png?raw=true,
ordvault,A collection of software libraries hosted on-chain via Bitcoin,https://github.com/vondas-network/ordvault,code,2024,https://camo.githubusercontent.com/be65e4cfddd7c5d7699d64b36a29f98d64cc8fa2138bbe23a826df1d762a8124/68747470733a2f2f63646e2e66726565626965737570706c792e636f6d2f6c6f676f732f6c617267652f32782f626974636f696e2d6c6f676f2d706e672d7472616e73706172656e742e706e67,
cardquest.zone,Pokemon price tracking for chase cards,https://cardquest.zone/,code,2024,https://cardquest.zone/img/CardQuestZone-banner.gif,
btc-axios,A website that executes a HTTP GET request Axios hosted on the Bitcoin blockchain using the Ordinal protocol,https://github.com/vondas-network/btc-axios,code,2023,https://github.com/vondas-network/btc-axios/raw/main/img/btcaxios-logo.png?raw=true,
coinglass-node-api,Unofficial Coinglass API for Node.js,https://github.com/vondas-network/coinglass-node-api,Code,2023,https://github.com/vondas-network/coinglass-node-api/blob/main/img/coinglass-logo.png?raw=true,
ohta,A microservice logging library inspired by Ohta and Fukuisan banter from Iron Chef Japan,https://github.com/vondas-network/ohta,code,2023,https://github.com/vondas-network/ohta/blob/main/img/ohta-logo.png?raw=true,
ofx-supplemental,A collection of openFrameworks video experiments,https://github.com/cskonopka/ofx-supplemental,code,2023,https://github.com/cskonopka/ofx-supplemental/raw/main/img/ofx-supplemental.png?raw=true,
dexra,Web3 CLI tool for tracking the exchange rate of 2 cryptocurrencies on Polygon,https://github.com/cskonopka/dexra,code,2021,https://github.com/cskonopka/dexra/raw/master/img/dexra-logo.png?raw=true,
viewfinder,A single API for most EVM blockchains,https://github.com/vondas-network/viewfinder,code,2021,https://github.com/vondas-network/viewfinder/blob/main/img/viewfinder-logo.png?raw=true,
scopingVoices,"Creative tool for extracting audio and video content from the Periscope using Go, FFmpeg and Twitter",https://github.com/cskonopka/scopingVoices,code,2019,https://github.com/cskonopka/scopingVoices/raw/master/img/scopingVoices-logo.png?raw=true,